ID, A1, A2, A3, A4, A5, A6, A7, A8, A9, A11, A12, A13, A14, A15, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14,Sex, Age,Class, school every day?, share phone with family?, electricity at home?, parents rules phone?, Main purpose of phone use
2,3,3,4,,2,3,4,4,,4,3,1,3,2,4,3,1,2,2,4,2,4,4,4,3,2,2,5,6,3,6,6,1,2,1,1,2,1,2,0,Female,14,10,0,0,0,0,Other
4,2,4,4,3,3,4,4,2,3,1,4,4,4,4,2,3,4,4,4,4,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Female,19,10,0,,1,,
4,4,2,4,3,2,2,3,2,1,4,1,2,4,4,4,2,3,3,4,1,4,4,4,2,3,2,4,4,6,6,2,2,2,1,2,4,4,5,3,0,Female,16,10,0,1,0,0,Communication
2,3,2,1,1,4,3,2,4,4,3,2,1,3,4,4,2,4,1,4,1,4,,1,,1,,6,7,5,3,2,2,2,5,3,1,6,2,0,0,Male,16,10,0,0,0,0,Communication
1,1,4,4,3,3,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,5,2,2,4,7,2,6,5,4,2,7,2,0,3,Female,15,10,0,0,0,0,Games
4,4,4,2,2,3,2,4,4,4,2,4,4,1,4,4,4,2,1,4,2,4,4,4,4,2,4,1,1,2,2,5,5,3,3,3,3,5,7,0,3,Female,15,10,0,0,0,0,Music
4,2,1,4,4,2,1,3,1,3,1,4,1,1,3,1,2,2,1,4,2,4,4,1,4,3,1,3,4,2,1,2,4,,,,3,2,1,1,0,Female,17,10,0,0,1,0,School
1,2,2,3,1,,4,3,1,,,4,1,1,3,2,4,3,2,1,3,2,3,,2,4,3,6,4,1,,1,4,1,5,,,4,7,0,6,Female,17,10,,,0,0,Communication
4,4,3,4,4,4,4,2,2,2,1,1,2,4,4,2,4,3,2,4,3,4,3,4,2,4,4,1,1,1,1,5,2,1,1,2,1,2,3,0,1,Female,15,10,0,0,0,0,Games
4,2,1,4,4,1,4,4,3,4,1,4,1,4,3,1,2,4,1,4,4,3,4,3,4,2,3,2,3,5,2,5,2,1,3,1,1,4,1,0,5,Female,17,10,0,0,1,0,School
4,3,2,4,3,2,1,3,4,2,1,3,1,2,3,2,3,2,3,4,2,4,2,2,4,1,3,3,3,4,3,5,1,4,5,5,4,4,3,0,8,Female,15,10,0,1,0,1,Other
4,3,1,4,4,3,1,4,1,4,4,2,4,4,3,4,1,1,4,4,2,4,1,4,4,,3,7,6,4,3,4,6,1,1,3,1,3,6,0,3,Female,17,10,0,1,0,0,Social Media
4,1,4,4,4,4,4,4,2,2,1,1,1,2,2,1,2,2,2,4,2,4,3,4,3,2,1,1,1,1,1,1,1,3,5,,6,7,6,0,0,Female,15,10,0,0,0,1,Music
4,2,2,4,1,3,2,3,1,3,1,3,1,4,1,4,4,3,1,4,4,1,3,3,3,3,2,5,2,1,3,5,4,2,5,5,2,4,2,3,0,Female,14,10,0,0,0,0,Other
4,1,1,4,4,3,2,1,1,4,1,2,3,4,3,1,3,2,1,4,2,2,4,1,4,,1,2,3,2,1,1,2,4,4,2,3,2,2,0,0,Male,,10,0,0,1,0,School
3,4,1,4,3,1,3,2,4,2,1,3,2,4,4,4,1,1,2,4,3,2,3,1,4,2,1,3,4,5,1,7,3,6,4,1,2,3,1,0,1,Female,15,10,0,0,0,,School
4,3,4,4,1,2,1,3,1,3,2,4,3,4,4,1,3,4,1,4,2,1,4,4,4,2,3,1,2,1,2,2,3,3,2,4,1,4,2,4,10,Female,17,10,0,0,0,0,Music
2,3,3,4,4,3,2,1,3,1,4,3,2,3,2,2,2,4,1,4,1,3,1,1,4,1,4,4,3,6,3,7,4,7,4,6,1,5,3,,,Male,16,10,0,0,0,0,Social Media
2,1,3,4,1,2,1,4,3,4,1,4,4,1,1,3,4,3,2,4,1,4,4,4,4,4,2,4,1,,1,6,5,1,3,4,1,5,1,0,4,Male,13,7,0,0,1,0,Communication
1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,1,3,2,2,3,2,2,1,1,1,1,7,5,4,1,1,2,2,1,1,1,1,0,0,Female,,7,0,1,0,1,Games
2,1,4,2,4,1,,4,3,4,1,1,2,3,4,3,2,2,3,4,2,4,4,1,4,2,3,1,1,1,1,1,1,1,1,1,,1,1,0,0,Female,13,7,0,,1,,
3,2,1,4,3,3,2,3,4,,2,2,2,3,2,2,2,1,1,4,3,3,2,3,3,2,4,3,2,2,4,5,5,2,2,1,1,2,2,0,0,Female,11,7,0,0,1,0,School
1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,3,2,4,3,2,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,Male,11,7,0,0,0,0,social media
1,3,,2,,1,4,3,2,4,3,4,1,3,4,4,2,3,4,4,2,4,3,,,,,3,7,5,3,7,6,6,7,5,4,5,6,,,Male,11,7,0,0,1,0,Games
4,1,3,4,4,2,4,4,1,4,1,4,4,4,2,4,4,1,4,4,1,2,4,4,4,4,1,5,6,7,7,6,7,4,6,3,5,6,7,0,4,Male,12,7,0,1,0,0,Communication
2,4,2,4,4,2,2,4,4,1,1,2,4,1,4,2,3,3,3,4,2,4,4,3,4,3,3,1,1,1,1,1,1,1,1,2,3,3,4,0,0,Female,12,7,0,1,1,1,Games
3,4,1,4,4,4,3,3,3,3,4,3,3,3,3,4,3,4,1,4,,2,2,4,4,3,2,2,2,1,1,6,5,5,6,6,2,2,6,0,1,Male,12,7,0,0,1,0,School
3,1,4,3,3,1,3,3,2,3,3,3,1,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,6,7,7,6,3,2,5,1,2,1,3,0,0,Male,12,7,0,0,1,0,Communication
4,3,4,2,2,3,1,4,2,2,3,3,2,2,3,4,1,4,3,4,1,3,3,4,4,4,3,7,4,4,5,6,,3,5,6,7,5,4,,,Male,13,7,0,0,0,1,
4,2,4,4,4,4,2,4,3,2,4,2,4,4,3,4,3,2,4,4,4,4,4,4,4,4,4,6,3,4,6,5,6,2,2,4,6,3,5,3,0,Male,13,7,0,0,0,0,Music
4,2,1,3,1,2,4,3,1,4,4,4,1,3,1,4,4,4,4,3,4,4,4,4,4,4,1,4,1,2,2,2,2,2,2,1,1,2,1,,,Male,12,7,0,0,1,0,Communication
2,1,4,2,,4,1,2,3,2,1,1,2,4,3,2,2,2,3,4,2,4,4,1,4,1,2,6,4,6,3,5,6,1,3,3,4,2,2,,,Male,13,7,0,1,0,1,School
4,3,3,1,3,4,1,3,4,1,3,2,4,2,1,3,3,1,1,3,4,4,2,4,1,3,4,5,7,3,1,5,5,3,6,3,7,4,2,0,0,Female,14,7,0,1,0,0,Games
3,2,,2,1,2,3,4,1,4,2,1,3,2,1,2,4,3,3,1,2,2,3,,,,,7,,3,,4,6,1,4,2,5,2,1,0,0,Female,,7,0,1,0,1,Music
1,3,1,4,2,2,4,2,2,3,2,2,2,3,2,4,2,2,1,4,2,3,2,2,4,3,2,5,,4,1,7,4,4,3,4,2,2,5,2,0,Male,11,7,0,0,0,0,Communication
4,2,4,4,4,3,1,3,1,4,1,3,1,2,4,4,4,2,3,4,1,3,4,1,3,3,2,6,2,4,6,5,3,2,4,,6,3,1,5,9,Male,12,7,0,0,0,0,Social Media
4,4,4,4,1,4,2,4,4,3,1,1,4,4,4,4,4,4,4,4,4,1,4,1,4,3,3,4,6,6,6,5,6,4,6,3,5,3,4,0,0,Male,13,7,0,1,0,0,Games
1,1,2,1,1,1,2,1,1,1,3,4,1,2,1,1,3,2,1,1,3,1,1,1,1,3,3,5,7,6,5,4,2,3,,4,3,2,6,0,0,Female,15,7,0,1,0,1,Music
